start_date,end_date,start_act360_years,true_forward_rate,recovered_forward_rate,error_bp
2047-06-14,2047-07-12,21.038888888888888,0.07327190601018607,0.07288708101370865,-3.848249964774203
2047-06-21,2047-07-19,21.058333333333334,0.0732692848654648,0.07288708101370865,-3.8220385175614933
2047-06-28,2047-07-26,21.07777777777778,0.0732666668854092,0.07288708101370579,-3.795858717034056
2047-07-05,2047-08-02,21.09722222222222,0.07326405208691433,0.07288708101370865,-3.7697107320568133
2047-07-12,2047-08-09,21.116666666666667,0.07326144048668683,0.07288708101370579,-3.74359472981034
2047-07-19,2047-08-16,21.136111111111113,0.07325883210128487,0.07288708101370579,-3.717510875790725
2047-07-26,2047-08-23,21.155555555555555,0.07325622694707823,0.07288708101370865,-3.6914593336957733
2047-08-02,2047-08-30,21.175,0.07325362504026822,0.07288708101370579,-3.6654402656242926
2047-08-09,2047-09-06,21.194444444444443,0.07325102639692199,0.07288708101370865,-3.6394538321334045
2047-08-16,2047-09-13,21.21388888888889,0.07324843103290972,0.07288708101370865,-3.613500192010677
2047-08-23,2047-09-20,21.233333333333334,0.07324583896394168,0.07288708101370579,-3.5875795023589117
2047-08-30,2047-09-27,21.252777777777776,0.07324325020558257,0.07288708101370865,-3.5616919187392293
2047-09-06,2047-10-04,21.272222222222222,0.07324066477320296,0.07288708101370865,-3.535837594943053
2047-09-13,2047-10-11,21.291666666666668,0.0732380826820278,0.07288708101370579,-3.5100166832201243
2047-09-20,2047-10-18,21.31111111111111,0.07323550394713646,0.07288708101370865,-3.4842293342780826
2047-09-27,2047-10-25,21.330555555555556,0.07323292858341704,0.07288708101370865,-3.4584756970838795
2047-10-04,2047-11-01,21.35,0.07323035660563486,0.07288708101370579,-3.432755919290653
2047-10-11,2047-11-08,21.369444444444444,0.07322778802836113,0.07288708101370579,-3.40707014655342
2047-10-18,2047-11-15,21.38888888888889,0.0732252228660186,0.07288708101370579,-3.381418523128038
2047-10-25,2047-11-22,21.408333333333335,0.07322266113290724,0.07288708101370579,-3.3558011920144235
2047-11-01,2047-11-29,21.427777777777777,0.07322010284310153,0.07288708101370865,-3.330218293928766
2047-11-08,2047-12-06,21.447222222222223,0.07321754801060168,0.07288708101370293,-3.304669968987456
2047-11-15,2047-12-13,21.466666666666665,0.07321499664920239,0.07288708101370865,-3.27915635493739
2047-11-22,2047-12-20,21.48611111111111,0.07321244877254131,0.07288708101370865,-3.2536775883265645
2047-11-29,2047-12-27,21.505555555555556,0.07320990439414762,0.07288708101370579,-3.2282338044183065
2047-12-06,2048-01-03,21.525,0.07320736352735066,0.0728870810137115,-3.2028251363916405
2047-12-13,2048-01-10,21.544444444444444,0.07320482618535129,0.07288708101370865,-3.177451716426388
2047-12-20,2048-01-17,21.56388888888889,0.0732022923812105,0.07288708101370579,-3.15211367504703
2047-12-27,2048-01-24,21.583333333333332,0.07319976212782368,0.07288708101370865,-3.1268111411503208
2048-01-03,2048-01-31,21.602777777777778,0.0731972354379378,0.07288708101370865,-3.1015442422914488
2048-01-10,2048-02-07,21.622222222222224,0.07319471232416845,0.07288708101370579,-3.0763131046265824
2048-01-17,2048-02-14,21.641666666666666,0.0731921927989714,0.07288708101370865,-3.051117852627544
2048-01-24,2048-02-21,21.66111111111111,0.0731896768746511,0.07288708101370579,-3.025958609453039
